GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.security.dto,ExampleUserDetails.Builder,0,95,0,2,0,28,0,10,0,9
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.security.dto,ExampleUserDetails,0,55,0,0,0,9,0,8,0,8
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.controller,RegistrationController,0,177,0,6,0,46,0,10,0,7
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.common.controller,HomeController,0,12,0,0,0,4,0,3,0,3
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.security.service,SimpleSocialUserDetailsService,0,26,0,0,0,8,0,3,0,3
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.security.service,RepositoryUserDetailsService,0,67,0,2,0,12,0,4,0,3
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.service,RepositoryUserService,0,125,0,8,0,29,0,9,0,5
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.service,DuplicateEmailException,0,4,0,0,0,2,0,1,0,1
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.validation,PasswordsNotEmptyValidator,0,86,0,10,0,24,0,10,0,5
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.validation,PasswordsNotEqualValidator,0,64,0,8,0,16,0,8,0,4
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.validation,ValidatorUtil,3,21,0,0,1,5,1,2,1,2
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.dto,RegistrationForm,0,81,0,4,0,23,0,18,0,16
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.common.model,BaseEntity,0,25,0,0,0,10,0,6,0,6
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.model,User.Builder,0,51,0,0,0,15,0,7,0,7
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.model,User,0,66,0,0,0,11,0,10,0,10
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.model,Role,9,19,0,0,0,2,2,2,2,2
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.user.model,SocialMediaService,0,38,0,0,0,3,0,4,0,4
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.security.controller,LoginController,0,12,0,0,0,4,0,3,0,3
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.security.controller,SignUpController,0,12,0,0,0,4,0,3,0,3
Spring Social Sign In MVC Normal,net.petrikainulainen.spring.social.signinmvc.security.util,SecurityUtil,3,52,0,0,1,8,1,2,1,2
